TimeStamp,MELTER.MELTER_CONTROL_BX.Value,MELTER_ML.TEMP_PV_Value,CO2.CO2_GAS_concentration_Value,CO2.CO2_GAS_F.Value,CO2.CO2_GAS_PRESS.Value,SATURATOR1_PH_PV.Value,SATURATOR1_ST_TEMP.Value,SATURATOR1_CALCIUM_F.Value,SATURATOR2_PH_PV.Value,SATURATOR2_ST_TEMP.Value,SATURATOR2_CALCIUM_F.Value,SATURATOR3_PH_PV.Value,SATURATOR3_ST_TEMP.Value,SATURATOR1_RATE_SV.Value,SATURATOR_ML_SUPPLY_F_PV.Value
2021-01-01 12:00:00,64.08391,76.41039,10.0684,119.0718,0.474664,9.004176,74.13679,1002.806,9.587281,77.09235,848.0425,8.564556,71.92793,0.7,83.80082999999999
2021-01-01 12:15:00,63.666070000000005,77.91673,10.048242,119.5217,0.47255545,8.979867,72.78929,1008.2285,9.504556,77.10535999999999,729.97055,8.4686685,71.98248000000001,0.7,84.954685
2021-01-01 12:30:00,64.06131,79.31078,10.01779,118.1252,0.476122,9.025858,72.22536,1010.977,9.404507,77.05698,635.437,8.571645,72.01671,0.7,85.67872
2021-01-01 12:45:00,62.82967,76.38318,10.20251,120.2081,0.4680256,8.917667,73.87802,1003.955,9.590125,77.14821,759.7331,8.368549,72.08821,0.7,86.29304
2021-01-01 13:00:00,63.37199,77.911635,10.083785,119.7166,0.4712021,9.006521,73.24024,1007.3675,9.5029775,77.123185,737.78525,8.4207125,72.07521,0.7,85.96325
2021-01-01 13:15:00,62.90012,76.28967,9.846929,118.965,0.4758923,9.040827,72.35727,996.3411,9.581297,77.24431,798.1928,8.550455,72.12106,0.7,85.93964
2021-01-01 13:30:00,64.10606,79.21179,10.20589,121.6496,0.4658244,8.905095,74.37955,1025.336,9.421108,77.10011,621.9684,8.227016,72.22474,0.7,84.19660999999999
2021-01-01 13:45:00,63.98397166666666,78.81001499999999,10.205165,121.01386666666669,0.4681473666666667,8.9676415,74.22467166666667,1016.4035,9.458558666666669,77.13453666666666,536.9205062833333,8.362780666666668,72.16542833333332,0.7,84.13208499999999
2021-01-01 14:00:00,63.86188333333333,78.40823999999999,10.20444,120.37813333333334,0.4704703333333333,9.030188,74.06979333333334,1007.471,9.496009333333332,77.16896333333334,451.87261256666665,8.498545333333334,72.10611666666667,0.6999999999999998,84.06755999999999
2021-01-01 14:15:00,62.90026,76.38087,9.674345,123.4467,0.4601602,8.824513,72.10638,858.5552,9.586152,77.23758,1249.04,8.37431,71.88061,0.7,77.75618
2021-01-01 14:30:00,63.84335,76.33059,9.768048,122.8835,0.461429,8.9478,71.85767,948.3669,9.443139,77.17021,392.1404,8.492971,71.81451,0.7,77.99784
2021-01-01 14:45:00,63.27756333333334,78.35108000000001,10.43699,120.07286666666668,0.4712207333333333,8.885375999999999,74.08202,955.9679666666668,9.551926333333334,77.07281,804.6406666666667,8.381813333333334,72.00684333333334,0.6999999999999998,86.12958
2021-01-01 15:00:00,63.015751666666674,79.00393,10.74384,120.81958333333334,0.4737404166666666,8.932931,74.85442499999999,996.9939833333332,9.509240666666669,77.10548,661.5398833333334,8.492261166666667,72.06133666666668,0.7,85.824635
2021-01-01 15:15:00,62.75394,79.65678,11.05069,121.5663,0.4762601,8.980486,75.62683,1038.02,9.466555,77.13815,518.4391,8.602709,72.11583,0.7,85.51969
2021-01-01 15:30:00,63.99056,76.52996,10.17062,119.1426,0.4628206,9.090288,71.98227,992.4348,9.605729,77.32916,903.5235,8.426872,72.21396,0.7,86.68141
2021-01-01 15:45:00,63.87964,76.36909,10.04357,121.5306,0.4649954,8.979807,71.86347,930.1695,9.650672,77.09282,628.9208,8.419161,72.13893,0.7,85.644
