SA,SD,PA,PI,LR,HC,fuel,bus_num,file_index
1,3,384,63,125,1645,18.367,##########kd000097,64_5
0,0,178,0,0,599,7.379,##########kd000097,64_10
1,8,441,0,117,1039,12.079,##########kd000097,64_11
3,7,218,0,126,2759,20.854,##########kd000097,64_12
1,9,72,0,216,1355,7.298,##########kd000097,64_14
8,17,277,0,543,1774,12.725,##########kd000023,65_7
4,30,510,193,456,1807,14.607,##########kd000023,65_11
1,16,305,365,646,617,9.271,##########kd000023,65_14
0,4,171,0,66,684,6.035,##########kd000023,66_5
0,0,44,0,0,1155,7.216,##########kd000023,66_7
2,6,151,0,94,991,6.707,##########kd000023,66_10
1,24,523,0,88,1362,14.388,##########kd000023,66_12
4,7,245,217,545,1863,14.48,##########kd000023,66_14
9,20,607,347,609,1821,15.559,##########kd000023,67_6
6,4,247,70,269,628,8.416,##########kd000023,67_9
12,24,797,158,473,1865,21.072,##########kd000023,67_10
0,0,66,0,0,1918,10.557,##########kd000023,67_12
6,7,145,0,97,1752,11.656,##########kd000097,68_3
3,13,499,96,413,1577,18.506,##########kd000097,68_4
6,15,374,152,345,442,5.613,##########kd000097,68_5
0,12,201,0,68,1197,9.373,##########kd000097,68_7
3,14,588,0,0,1044,13.489,##########kd000097,68_10
1,4,218,0,119,967,9.115,##########kd000097,68_12
4,7,432,663,1209,3845,24.137,##########kd000097,68_15
0,0,0,0,0,1268,5.677,##########kd000104,69_10
0,0,47,0,0,3849,21.925,##########kd000104,70_12
1,10,150,379,567,3410,19.582,##########kd000104,70_13
0,0,16,0,0,1006,6.873,##########kd000104,71_3
1,0,91,503,591,1282,5.954,##########kd000104,71_4
1,1,141,104,584,3062,15.819,##########kd000104,71_5
0,0,183,0,0,2040,11.7,##########kd000104,71_7
4,8,607,543,1948,4096,21.957,##########kd000104,72_3
0,0,116,0,86,2330,12.674,##########kd000104,72_4
0,0,41,433,527,2415,11.116,##########kd000104,73_2
0,0,43,0,0,1410,8.023,##########kd000104,73_6
0,0,7,0,0,1983,9.427,##########kd000104,73_7
1,11,163,300,632,4454,23.814,##########kd000104,73_8
0,0,117,0,117,1292,9.597,##########kd000104,74_1
0,0,82,276,367,1534,10.515,##########kd000104,75_5
6,1,123,158,602,1519,9.673,##########kd000104,76_8
0,0,59,145,245,1501,7.138,##########kd000104,76_10
0,2,75,0,0,1585,9.933,##########kd000104,76_14
0,0,137,99,188,2815,15.932,##########kd000104,76_16
2,0,97,111,422,773,5.263,##########kd000104,77_14
0,0,42,0,0,2767,12.57,##########kd000104,77_17
0,0,61,0,0,1408,7.996,##########kd000104,78_14
0,0,12,0,0,2051,10.331,##########kd000104,78_15
2,7,163,259,560,3805,24.383,##########kd000104,78_16
4,20,178,456,682,863,5.517,##########kd000104,79_8
1,4,266,0,520,1290,10.361,##########kd000104,80_3
0,1,100,0,0,2029,11.159,##########kd000104,80_9
0,2,123,114,207,3332,21.757,##########kd000027,81_2
0,0,97,331,384,2278,10.915,##########kd000027,81_3
0,0,99,0,0,1741,9.236,##########kd000027,81_5
0,1,132,347,563,3529,17.871,##########kd000027,81_9
0,0,30,0,0,1769,7.658,##########kd000104,82_2
2,0,70,0,229,1322,6.406,##########kd000104,82_10
0,1,167,0,0,3431,18.579,##########kd000104,84_5
1,3,172,979,1334,3880,22.836,##########kd000104,84_7
0,0,189,0,0,3094,18.292,##########kd000104,84_13
1,0,182,395,594,3675,22.125,##########kd000104,84_15
4,1,67,0,63,2976,17.962,##########kd000091,86_3
1,6,113,509,667,1033,6.872,##########kd000091,86_6
0,0,55,0,0,1773,8.929,##########kd000104,88_3
0,0,37,0,0,1073,5.044,##########kd000104,88_14
0,0,71,0,204,2026,11.105,##########kd000104,89_1
0,0,63,0,0,3027,15.583,##########kd000104,89_12
2,0,64,0,167,2896,16.382,##########kd000091,90_3
0,0,28,0,0,2806,16.364,##########kd000091,90_9
1,0,214,229,417,3455,19.127,##########kd000104,91_6
0,0,149,361,601,4349,23.492,##########kd000104,91_7
3,1,152,0,163,3632,21.011,##########kd000091,92_3
1,9,420,0,542,2804,20.834,##########kd000091,92_7
0,2,201,81,557,3167,17.738,##########kd000104,93_1
1,0,126,321,755,1926,12.108,##########kd000104,93_10
0,0,8,0,0,2292,10.229,##########kd000104,94_2
0,0,155,535,631,2961,15.048,##########kd000104,94_10
1,1,284,108,1331,2591,15.99,##########kd000104,96_8
0,1,136,0,80,2759,16.434,##########kd000104,96_11
0,0,140,225,298,1484,11.889,##########kd000057,98_1
7,5,265,367,956,1896,11.534,##########kd000057,98_7
0,2,81,460,529,3824,24.234,##########kd000057,98_15
1,1,103,374,553,1284,10.219,##########kd000057,99_2
0,0,42,0,0,3603,23.883,##########kd000057,99_3
2,6,229,70,326,2476,16.101,##########kd000057,99_8
5,6,393,1229,1641,3409,21.897,##########kd000057,99_16
0,3,212,0,0,2950,20.819,##########kd000057,99_17
0,3,144,0,149,995,6.7,##########kd000027,100_4
0,0,13,0,0,1371,6.072,##########kd000027,100_6
2,3,138,115,498,800,6.406,##########kd000027,100_8
0,0,13,0,0,2042,9.228,##########kd000027,100_9
0,2,112,409,491,3789,24.709,##########kd000027,100_10
0,0,91,348,433,1229,7.414,##########kd000027,100_11
0,0,6,0,0,954,5.043,##########kd000027,100_13
0,6,197,0,124,2641,15.011,##########kd000027,102_4
1,11,208,114,384,2669,16.373,##########kd000027,102_13
0,0,26,0,0,938,5.57,##########kd000027,102_14
4,7,360,0,295,3464,22.408,##########kd000057,103_7
0,0,95,0,0,2876,18.001,##########kd000057,104_4
13,23,347,934,1654,3200,20.599,##########kd000057,104_5
3,2,234,0,216,2454,16.621,##########kd000057,104_8
21,23,219,0,669,2841,18.27,##########kd000057,105_2
8,18,469,0,325,1488,13.505,##########kd000057,105_3
0,2,174,0,66,2736,18.489,##########kd000057,105_4
2,5,86,84,281,2801,16.843,##########kd000057,105_5
0,2,170,593,691,1395,8.563,##########kd000057,105_11
6,20,309,184,1041,601,7.518,##########kd000057,106_2
3,6,90,83,268,2216,13.058,##########kd000057,106_4
8,0,300,80,479,2634,18.092,##########kd000057,107_6
0,0,32,0,0,1505,11.74,##########kd000057,107_7
0,3,184,657,951,2840,20.737,##########kd000057,107_8
0,2,119,0,0,1815,12.075,##########kd000057,108_4
4,10,467,588,1389,3085,20.479,##########kd000057,108_10
0,0,15,0,0,2083,12.355,##########kd000091,110_2
1,0,79,0,71,2974,16.77,##########kd000091,110_7
1,3,147,0,0,2779,17.377,##########kd000091,110_15
0,0,61,382,462,2136,15.23,##########kd000091,110_17
1,6,56,168,316,2762,16.729,##########kd000091,111_1
3,0,131,264,835,3953,23.966,##########kd000091,111_8
0,1,21,0,0,1175,8.577,##########kd000091,111_9
2,1,54,0,100,2915,17.844,##########kd000091,111_10
0,6,306,0,112,469,6.16,##########kd000057,112_4
1,10,75,91,193,1480,8.531,##########kd000057,112_6
0,2,86,0,0,992,7.356,##########kd000057,113_5
7,1,173,0,279,3812,24.422,##########kd000057,114_2
4,4,187,0,100,1966,15.688,##########kd000057,114_8
1,1,292,0,156,2481,18.122,##########kd000057,114_12
1,0,123,0,0,2193,13.498,##########kd000057,115_8
1,6,121,0,0,1600,11.769,##########kd000057,115_12
1,11,291,0,0,3766,23.77,##########kd000057,116_2
2,12,213,589,891,3692,23.779,##########kd000057,116_3
1,7,220,0,437,3054,18.067,##########kd000091,117_5
0,0,19,0,0,1898,12.496,##########kd000091,117_6
0,3,89,0,69,2915,16.333,##########kd000091,117_7
7,6,353,484,1150,2919,19.652,##########kd000091,117_15
0,2,63,445,516,944,6.022,##########kd000057,118_3
1,11,71,0,67,2224,12.875,##########kd000057,118_4
9,21,318,224,1325,2933,18.977,##########kd000057,118_10
0,0,175,0,122,613,5.218,##########kd000057,118_13
0,0,111,0,0,2854,15.449,##########kd000057,118_14
0,1,89,0,0,3341,19.636,##########kd000057,119_11
0,5,157,671,929,3189,19.031,##########kd000057,119_12
2,5,267,0,171,2421,17.438,##########kd000057,119_18
0,0,96,0,0,3999,23.305,##########kd000057,120_10
0,0,80,0,64,1505,8.95,##########kd000057,121_3
2,6,292,0,520,3449,21.075,##########kd000091,122_3
0,0,64,0,0,1333,9.737,##########kd000091,122_4
3,9,66,62,192,2901,16.419,##########kd000091,122_5
0,0,9,0,0,2412,13.159,##########kd000091,122_9
0,9,334,0,180,2652,17.299,##########kd000057,123_5
0,3,176,544,631,2548,14.777,##########kd000057,123_10
5,9,358,222,1015,1439,11.062,##########kd000057,123_11
0,9,313,0,178,1327,10.663,##########kd000057,124_2
0,0,126,0,0,2338,13.998,##########kd000119,125_1
2,5,230,144,347,2292,13.709,##########kd000119,125_2
2,0,205,0,197,2776,16.262,##########kd000119,125_8
0,2,215,0,0,3827,23.379,##########kd000119,125_11
7,5,111,117,378,662,5.363,##########kd000119,125_15
0,0,81,180,220,1651,12.436,##########kd000119,125_19
0,0,198,183,220,2549,15.773,##########kd000119,125_21
1,0,189,0,178,2145,12.544,##########kd000119,126_3
6,0,241,105,544,1230,9.485,##########kd000027,127_2
0,0,94,0,0,2489,13.092,##########kd000027,127_3
0,1,59,258,324,2102,13.247,##########kd000027,127_4
2,2,101,191,392,1466,7.727,##########kd000027,127_5
0,2,116,0,0,1347,8.951,##########kd000027,127_11
0,0,170,0,0,3244,18.988,##########kd000027,127_16
0,0,57,304,383,621,5.478,##########kd000027,127_17
1,3,122,227,386,3032,19.252,##########kd000027,127_18
0,1,282,708,1493,2234,14.476,##########kd000106,128_12
0,0,77,0,0,2216,13.947,##########kd000106,129_3
0,3,83,265,347,1288,9.225,##########kd000106,129_4
0,3,50,0,0,1469,7.658,##########kd000106,129_5
0,0,9,0,0,1451,9.935,##########kd000106,129_14
0,3,83,0,0,1135,5.32,##########kd000106,129_15
0,0,48,0,0,1131,6.409,##########kd000106,129_16
1,3,115,113,221,2848,17.151,##########kd000106,130_8
0,0,33,0,0,1781,12.738,##########kd000106,130_13
0,0,95,0,0,1555,8.323,##########kd000106,130_15
1,1,54,0,85,3041,17.515,##########kd000091,131_7
5,4,174,0,206,3183,18.103,##########kd000091,131_10
0,2,47,0,165,1456,8.451,##########kd000091,131_15
4,1,140,417,623,3508,21.199,##########kd000006,132_9
0,0,98,0,0,4124,23.218,##########kd000006,132_12
1,3,56,0,0,2981,17.388,##########kd000091,133_6
0,0,61,0,0,2653,15.093,##########kd000091,133_11
0,0,37,0,0,1028,6.412,##########kd000091,133_14
1,3,242,640,1085,3519,22.084,##########kd000006,134_13
1,13,94,0,266,1463,7.797,##########kd000006,135_4
6,8,214,282,803,3058,18.231,##########kd000006,136_5
0,0,142,0,0,1631,10.863,##########kd000006,136_8
0,5,8,0,60,948,5.049,##########kd000006,136_9
0,1,187,0,0,2012,13.021,##########kd000006,137_10
0,1,43,224,261,1150,5.02,##########kd000006,138_3
23,19,340,333,1029,2766,18.149,##########kd000006,138_4
5,16,456,0,276,3137,19.921,##########kd000006,138_5
0,0,14,0,0,1005,7.431,##########kd000006,138_6
0,0,101,188,310,2966,16.792,##########kd000006,138_7
0,0,124,0,0,1912,11.106,##########kd000006,138_11
1,3,284,0,346,2218,14.181,##########kd000006,139_8
5,3,278,0,171,1831,13.418,##########kd000006,139_11
0,0,140,223,297,3910,22.235,##########kd000006,139_12
2,0,47,0,299,1606,7.126,##########kd000006,139_13
8,5,315,158,565,3361,20.998,##########kd000006,140_6
2,1,149,119,210,4035,24.408,##########kd000006,140_8
